cod.ibge;mesorregiao;microrregiao;municipio
1100015;Leste Rondoniense;Cacoal;Alta Floresta D'Oeste
1100379;Leste Rondoniense;Cacoal;Alto Alegre dos Parecis
1100403;Leste Rondoniense;Ariquemes;Alto Paraíso
1100346;Leste Rondoniense;Alvorada D'Oeste;Alvorada D'Oeste
1100023;Leste Rondoniense;Ariquemes;Ariquemes
1100452;Madeira-Guaporé;Porto Velho;Buritis
1100031;Leste Rondoniense;Colorado do Oeste;Cabixi
1100601;Leste Rondoniense;Ariquemes;Cacaulândia
1100049;Leste Rondoniense;Cacoal;Cacoal
1100700;Madeira-Guaporé;Porto Velho;Campo Novo de Rondônia
1100809;Madeira-Guaporé;Porto Velho;Candeias do Jamari
1100908;Leste Rondoniense;Cacoal;Castanheiras
1100056;Leste Rondoniense;Colorado do Oeste;Cerejeiras
1100924;Leste Rondoniense;Vilhena;Chupinguaia
1100064;Leste Rondoniense;Colorado do Oeste;Colorado do Oeste
1100072;Leste Rondoniense;Colorado do Oeste;Corumbiara
1100080;Madeira-Guaporé;Guajará-Mirim;Costa Marques
1100940;Madeira-Guaporé;Porto Velho;Cujubim
1100098;Leste Rondoniense;Cacoal;Espigão D'Oeste
1101005;Leste Rondoniense;Ji-Paraná;Governador Jorge Teixeira
1100106;Madeira-Guaporé;Guajará-Mirim;Guajará-Mirim
1101104;Madeira-Guaporé;Porto Velho;Itapuã do Oeste
1100114;Leste Rondoniense;Ji-Paraná;Jaru
1100122;Leste Rondoniense;Ji-Paraná;Ji-Paraná
1100130;Leste Rondoniense;Ariquemes;Machadinho D'Oeste
1101203;Leste Rondoniense;Cacoal;Ministro Andreazza
1101302;Leste Rondoniense;Ji-Paraná;Mirante da Serra
1101401;Leste Rondoniense;Ariquemes;Monte Negro
1100148;Leste Rondoniense;Alvorada D'Oeste;Nova Brasilândia D'Oeste
1100338;Madeira-Guaporé;Porto Velho;Nova Mamoré
1101435;Leste Rondoniense;Ji-Paraná;Nova União
1100502;Leste Rondoniense;Cacoal;Novo Horizonte do Oeste
1100155;Leste Rondoniense;Ji-Paraná;Ouro Preto do Oeste
1101450;Leste Rondoniense;Vilhena;Parecis
1100189;Leste Rondoniense;Vilhena;Pimenta Bueno
1101468;Leste Rondoniense;Colorado do Oeste;Pimenteiras do Oeste
1100205;Madeira-Guaporé;Porto Velho;Porto Velho
1100254;Leste Rondoniense;Ji-Paraná;Presidente Médici
1101476;Leste Rondoniense;Vilhena;Primavera de Rondônia
1100262;Leste Rondoniense;Ariquemes;Rio Crespo
1100288;Leste Rondoniense;Cacoal;Rolim de Moura
1100296;Leste Rondoniense;Cacoal;Santa Luzia D'Oeste
1101484;Leste Rondoniense;Vilhena;São Felipe D'Oeste
1101492;Madeira-Guaporé;Guajará-Mirim;São Francisco do Guaporé
1100320;Leste Rondoniense;Alvorada D'Oeste;São Miguel do Guaporé
1101500;Leste Rondoniense;Alvorada D'Oeste;Seringueiras
1101559;Leste Rondoniense;Ji-Paraná;Teixeirópolis
1101609;Leste Rondoniense;Ji-Paraná;Theobroma
1101708;Leste Rondoniense;Ji-Paraná;Urupá
1101757;Leste Rondoniense;Ariquemes;Vale do Anari
1101807;Leste Rondoniense;Ji-Paraná;Vale do Paraíso
1100304;Leste Rondoniense;Vilhena;Vilhena
1200013;Vale do Acre;Rio Branco;Acrelândia
1200054;Vale do Acre;Brasiléia;Assis Brasil
1200104;Vale do Acre;Brasiléia;Brasiléia
1200138;Vale do Acre;Rio Branco;Bujari
1200179;Vale do Acre;Rio Branco;Capixaba
1200203;Vale do Juruá;Cruzeiro do Sul;Cruzeiro do Sul
1200252;Vale do Acre;Brasiléia;Epitaciolândia
1200302;Vale do Juruá;Tarauacá;Feijó
1200328;Vale do Juruá;Tarauacá;Jordão
1200336;Vale do Juruá;Cruzeiro do Sul;Mâncio Lima
1200344;Vale do Acre;Sena Madureira;Manoel Urbano
1200351;Vale do Juruá;Cruzeiro do Sul;Marechal Thaumaturgo
1200385;Vale do Acre;Rio Branco;Plácido de Castro
1200807;Vale do Acre;Rio Branco;Porto Acre
1200393;Vale do Juruá;Cruzeiro do Sul;Porto Walter
1200401;Vale do Acre;Rio Branco;Rio Branco
1200427;Vale do Juruá;Cruzeiro do Sul;Rodrigues Alves
1200435;Vale do Acre;Sena Madureira;Santa Rosa do Purus
1200500;Vale do Acre;Sena Madureira;Sena Madureira
1200450;Vale do Acre;Rio Branco;Senador Guiomard
1200609;Vale do Juruá;Tarauacá;Tarauacá
1200708;Vale do Acre;Brasiléia;Xapuri
1300029;Centro Amazonense;Tefé;Alvarães
1300060;Sudoeste Amazonense;Alto Solimões;Amaturá
1300086;Centro Amazonense;Coari;Anamã
1300102;Centro Amazonense;Coari;Anori
1300144;Sul Amazonense;Madeira;Apuí
1300201;Sudoeste Amazonense;Alto Solimões;Atalaia do Norte
1300300;Centro Amazonense;Manaus;Autazes
1300409;Norte Amazonense;Rio Negro;Barcelos
1300508;Centro Amazonense;Parintins;Barreirinha
1300607;Sudoeste Amazonense;Alto Solimões;Benjamin Constant
1300631;Centro Amazonense;Coari;Beruri
1300680;Centro Amazonense;Parintins;Boa Vista do Ramos
1300706;Sul Amazonense;Boca do Acre;Boca do Acre
1300805;Sul Amazonense;Madeira;Borba
1300839;Centro Amazonense;Coari;Caapiranga
1300904;Sul Amazonense;Purus;Canutama
1301001;Sudoeste Amazonense;Juruá;Carauari
1301100;Centro Amazonense;Manaus;Careiro
1301159;Centro Amazonense;Manaus;Careiro da Várzea
1301209;Centro Amazonense;Coari;Coari
1301308;Centro Amazonense;Coari;Codajás
1301407;Sudoeste Amazonense;Juruá;Eirunepé
1301506;Sudoeste Amazonense;Juruá;Envira
1301605;Sudoeste Amazonense;Alto Solimões;Fonte Boa
1301654;Sudoeste Amazonense;Juruá;Guajará
1301704;Sul Amazonense;Madeira;Humaitá
1301803;Sudoeste Amazonense;Juruá;Ipixuna
1301852;Centro Amazonense;Manaus;Iranduba
1301902;Centro Amazonense;Itacoatiara;Itacoatiara
1301951;Sudoeste Amazonense;Juruá;Itamarati
1302009;Centro Amazonense;Itacoatiara;Itapiranga
1302108;Norte Amazonense;Japurá;Japurá
1302207;Sudoeste Amazonense;Juruá;Juruá
1302306;Sudoeste Amazonense;Alto Solimões;Jutaí
1302405;Sul Amazonense;Purus;Lábrea
1302504;Centro Amazonense;Manaus;Manacapuru
1302553;Centro Amazonense;Manaus;Manaquiri
1302603;Centro Amazonense;Manaus;Manaus
1302702;Sul Amazonense;Madeira;Manicoré
1302801;Norte Amazonense;Japurá;Maraã
1302900;Centro Amazonense;Parintins;Maués
1303007;Centro Amazonense;Parintins;Nhamundá
